Dates,Betafolio 0,Betafolio 10,Betafolio 20,Betafolio 30,Betafolio 40,Betafolio 50,Betafolio 60,Betafolio 70,Betafolio 80,Betafolio 90,Betafolio 100,Inflation
01/01/1915,-0.004158053,-0.002651215,-0.001145138,0.0003617,0.001868538,0.003374615,0.004882214,0.006388291,0.007893436,0.009401967,0.010908045,0
01/02/1915,-0.010450412,-0.008006569,-0.005564294,-0.003120451,-0.000676608,0.001765667,0.004211078,0.006653353,0.009096035,0.011541039,0.013983314,0.045454545
01/03/1915,-0.012312439,-0.010422135,-0.008530643,-0.006640339,-0.004750035,-0.002858543,-0.000969427,0.000922065,0.002813715,0.004702673,0.006594165,0
01/04/1915,0.007093832,0.008530933,0.009969167,0.011406268,0.012843368,0.014281603,0.015717569,0.017155803,0.018589572,0.020030004,0.021468238,0
01/05/1915,-0.00883269,-0.007699346,-0.006567397,-0.005434052,-0.004300708,-0.003168759,-0.00203402,-0.000902071,0.00023178,0.001364618,0.002496567,0.043478261
01/06/1915,-0.004712145,-0.003649938,-0.002586376,-0.001524168,-0.000461961,0.000601601,0.001662453,0.002726015,0.0037911,0.004850429,0.005913991,0.041666667
01/07/1915,-0.005737314,-0.004938312,-0.00414017,-0.003341169,-0.002542167,-0.001744026,-0.000944163,-0.000146022,0.000653668,0.001451982,0.002250123,0
01/08/1915,0.015217853,0.017824196,0.020432749,0.023039092,0.025645434,0.028253987,0.030858119,0.033466673,0.036075405,0.038679358,0.041287911,0
01/09/1915,0.002998498,0.001609078,0.000218798,-0.001170622,-0.002560042,-0.003950322,-0.005338882,-0.006729162,-0.008122221,-0.009508002,-0.010898283,0
01/10/1915,0.002199785,0.00499661,0.007793622,0.010590448,0.013387274,0.016184285,0.018980925,0.021777937,0.024572222,0.027371588,0.0301686,0.04
01/11/1915,-0.038800568,-0.035001944,-0.031195451,-0.027396827,-0.023598202,-0.019791709,-0.016000953,-0.01219446,-0.008389908,-0.004597211,-0.000790719,0
01/12/1915,0.004612419,0.004337125,0.004062179,0.003786885,0.003511592,0.003236645,0.002961004,0.002686058,0.002411228,0.002135471,0.001860524,0.038461538
01/01/1916,-0.005107365,-0.00658139,-0.00805698,-0.009531005,-0.011005029,-0.01248062,-0.013953079,-0.015428669,-0.01689614,-0.018376718,-0.019852309,0
01/02/1916,-0.003629112,-0.002789676,-0.00194824,-0.001108805,-0.000269369,0.000572067,0.001409502,0.002250938,0.003094028,0.003929809,0.004771245,0
01/03/1916,0.004812929,0.005334882,0.005857704,0.006379657,0.00690161,0.007424431,0.007945516,0.008468337,0.008991269,0.009512243,0.010035065,0
01/04/1916,0.00409517,0.004809461,0.005524529,0.006238819,0.00695311,0.007668178,0.00838169,0.009096759,0.009811551,0.01052534,0.011240408,0
01/05/1916,0.005982346,0.006735441,0.007488942,0.008242037,0.008995132,0.009748632,0.010501322,0.011254822,0.012007748,0.012761012,0.013514513,0.037037037
01/06/1916,0.02821665,0.02697907,0.025736306,0.024498726,0.023261147,0.022018383,0.020785987,0.019543223,0.018298714,0.017068063,0.0158253,0.035714286
01/07/1916,-0.056424224,-0.050267553,-0.044116703,-0.037960032,-0.031803361,-0.025652511,-0.019490019,-0.013339169,-0.007186779,-0.001025827,0.005125023,0
01/08/1916,0.008938203,0.008711468,0.008485836,0.008259101,0.008032365,0.007806733,0.007578895,0.007353263,0.007128961,0.006899792,0.00667416,0
01/09/1916,0.004612499,0.005576252,0.006538056,0.00750181,0.008465564,0.009427368,0.010393072,0.011354875,0.01231544,0.013282383,0.014244187,0.034482759
01/10/1916,-0.03411426,-0.02920683,-0.024296046,-0.019388616,-0.014481187,-0.009570402,-0.004666329,0.000244456,0.005153769,0.010059314,0.014970099,0
01/11/1916,-0.016829425,-0.014643669,-0.012458108,-0.010272351,-0.008086594,-0.005901034,-0.003715081,-0.00152952,0.000657898,0.002841993,0.005027554,0.066666667
01/12/1916,0.006723984,0.0062878,0.00585166,0.005415476,0.004979292,0.004543151,0.004106924,0.003670783,0.003237212,0.002798416,0.002362275,0.03125
01/01/1917,-0.039283395,-0.036104426,-0.032921756,-0.029742786,-0.026563816,-0.023381147,-0.020205877,-0.017023207,-0.013838861,-0.010665268,-0.007482598,0
01/02/1917,-0.000847656,-0.001889976,-0.002933692,-0.003976012,-0.005018332,-0.006062048,-0.007102971,-0.008146688,-0.009187088,-0.010231327,-0.011275044,0
01/03/1917,0.020295036,0.018703485,0.017109705,0.015518153,0.013926602,0.012332822,0.0107435,0.009149719,0.007553816,0.005966617,0.004372837,0.03030303
01/04/1917,0.038068354,0.034934655,0.031801919,0.02866822,0.025534521,0.022401785,0.019267124,0.016134387,0.012998912,0.00986699,0.006734253,0
01/05/1917,-0.000413529,-0.000909603,-0.001407444,-0.001903519,-0.002399593,-0.002897434,-0.003391742,-0.003889583,-0.004386281,-0.004881732,-0.005379573,0.029411765
01/06/1917,-0.009183887,-0.007835864,-0.00648872,-0.005140697,-0.003792674,-0.00244553,-0.001096629,0.000250515,0.001595844,0.002946561,0.004293705,0
01/07/1917,0.005743039,0.004854342,0.003965308,0.00307661,0.002187912,0.001298879,0.000410517,-0.000478517,-0.001367264,-0.002255912,-0.003144946,0.028571429
01/08/1917,0.020894349,0.018457495,0.016021654,0.0135848,0.011147946,0.008712105,0.006274238,0.003838397,0.001403088,-0.001035311,-0.003471152,0
01/09/1917,-0.010338848,-0.01017208,-0.010005269,-0.0098385,-0.009671732,-0.009504921,-0.009338195,-0.009171384,-0.009002233,-0.008837847,-0.008671036,0
01/10/1917,0.006421174,0.005499978,0.004576839,0.003655643,0.002734448,0.001811309,0.000892058,-3.11E-05,-0.000953906,-0.001873472,-0.002796612,-0.027777778
01/11/1917,-0.007898726,-0.008397742,-0.00889811,-0.009397126,-0.009896141,-0.010396509,-0.010894172,-0.011394541,-0.011891357,-0.012392572,-0.01289294,0.057142857
01/12/1917,-0.006512216,-0.006337367,-0.00616097,-0.005986121,-0.005811273,-0.005634876,-0.005461575,-0.005285178,-0.005107695,-0.004935481,-0.004759084,0
01/01/1918,0.004169531,0.005470919,0.006772588,0.008073977,0.009375365,0.010677034,0.011978142,0.01327981,0.014577068,0.015882587,0.017184256,1.30E-16
01/02/1918,-0.002874574,-0.001914572,-0.000955001,5.00E-06,0.000965002,0.001924573,0.002885006,0.003844577,0.004803088,0.00576458,0.006724151,0.027027027
01/03/1918,-0.002134054,-0.002554061,-0.002974753,-0.00339476,-0.003814767,-0.004235459,-0.004654782,-0.005075474,-0.005492754,-0.005915489,-0.00633618,0
01/04/1918,0.007671809,0.007456246,0.007238363,0.0070228,0.006807238,0.006589354,0.006376113,0.006158229,0.005939675,0.005727104,0.00550922,0
01/05/1918,0.038088971,0.035315165,0.032544018,0.029770212,0.026996407,0.02422526,0.021448795,0.018677648,0.015904419,0.013130037,0.01035889,0.026315789
